WAVELENGTH;SOLAR_IRRADIANCE
3.162500;21.530000
3.165000;21.470000
3.167500;21.390000
3.170000;21.310000
3.172500;21.240000
3.175000;21.180000
3.177500;21.110000
3.180000;21.030000
3.182500;20.960000
3.185000;20.890000
3.187500;20.810000
3.190000;20.730000
3.192500;20.660000
3.195000;20.600000
3.197500;20.570000
3.200000;20.550000
3.202500;20.540000
3.205000;20.530000
3.207500;20.460000
3.210000;20.400000
3.212500;20.340000
3.215000;20.280000
3.217500;20.210000
3.220000;20.140000
3.222500;20.080000
3.225000;20.030000
3.227500;19.960000
3.230000;19.900000
3.232500;19.830000
3.235000;19.770000
3.237500;19.710000
3.240000;19.650000
3.242500;19.590000
3.245000;19.530000
3.247500;19.460000
3.250000;19.390000
3.252500;19.330000
3.255000;19.270000
3.257500;19.210000
3.260000;19.150000
3.262500;19.080000
3.265000;19.020000
3.267500;18.960000
3.270000;18.900000
3.272500;18.840000
3.275000;18.780000
3.277500;18.710000
3.280000;18.640000
3.282500;18.580000
3.285000;18.530000
3.287500;18.460000
3.290000;18.400000
3.292500;18.330000
3.295000;18.270000
3.297500;18.260000
3.300000;18.250000
3.302500;18.240000
3.305000;18.240000
3.307500;18.190000
3.310000;18.140000
3.312500;18.080000
3.315000;18.030000
3.317500;17.980000
3.320000;17.930000
3.322500;17.880000
3.325000;17.830000
3.327500;17.770000
3.330000;17.710000
3.332500;17.660000
3.335000;17.620000
3.337500;17.560000
3.340000;17.500000
3.342500;17.450000
3.345000;17.410000
3.347500;17.350000
3.350000;17.290000
3.352500;17.250000
3.355000;17.210000
3.357500;17.140000
3.360000;17.080000
3.362500;17.040000
3.365000;17.000000
3.367500;16.930000
3.370000;16.870000
3.372500;16.830000
3.375000;16.790000
3.377500;16.720000
3.380000;16.660000
3.382500;16.610000
3.385000;16.570000
3.387500;16.510000
3.390000;16.460000
3.392500;16.410000
3.395000;16.360000
3.397500;16.340000
3.400000;16.330000
3.402500;16.310000
3.405000;16.300000
3.407500;16.260000
3.410000;16.220000
3.412500;16.170000
3.415000;16.130000
3.417500;16.080000
3.420000;16.040000
3.422500;16.000000
3.425000;15.960000
3.427500;15.900000
3.430000;15.840000
3.432500;15.810000
3.435000;15.780000
3.437500;15.730000
3.440000;15.680000
3.442500;15.630000
3.445000;15.590000
3.447500;15.550000
3.450000;15.500000
3.452500;15.450000
3.455000;15.400000
3.457500;15.360000
3.460000;15.320000
3.462500;15.280000
3.465000;15.240000
3.467500;15.180000
3.470000;15.130000
3.472500;15.090000
3.475000;15.050000
3.477500;15.010000
3.480000;14.960000
3.482500;14.910000
3.485000;14.870000
3.487500;14.820000
3.490000;14.780000
3.492500;14.730000
3.495000;14.690000
3.497500;14.660000
3.500000;14.640000
3.502500;14.640000
3.505000;14.630000
3.507500;14.590000
3.510000;14.550000
3.512500;14.500000
3.515000;14.450000
3.517500;14.410000
3.520000;14.380000
3.522500;14.350000
3.525000;14.320000
3.527500;14.260000
3.530000;14.210000
3.532500;14.180000
3.535000;14.150000
3.537500;14.100000
3.540000;14.050000
3.542500;14.010000
3.545000;13.980000
3.547500;13.940000
3.550000;13.910000
3.552500;13.860000
3.555000;13.820000
3.557500;13.780000
3.560000;13.740000
3.562500;13.700000
3.565000;13.670000
3.567500;13.620000
3.570000;13.580000
3.572500;13.540000
3.575000;13.500000
3.577500;13.460000
3.580000;13.430000
3.582500;13.390000
3.585000;13.350000
3.587500;13.300000
3.590000;13.250000
3.592500;13.220000
3.595000;13.180000
3.597500;13.170000
3.600000;13.160000
3.602500;13.140000
3.605000;13.120000
3.607500;13.090000
3.610000;13.060000
3.612500;13.030000
3.615000;13.000000
3.617500;12.960000
3.620000;12.920000
3.622500;12.890000
3.625000;12.850000
3.627500;12.810000
3.630000;12.780000
3.632500;12.740000
3.635000;12.700000
3.637500;12.670000
3.640000;12.650000
3.642500;12.610000
3.645000;12.570000
3.647500;12.530000
3.650000;12.500000
3.652500;12.460000
3.655000;12.430000
3.657500;12.390000
3.660000;12.360000
3.662500;12.320000
